DEPT,AVTX,BVTX,CILD,CNDL,CNLS,CNPOR,CNSS,GR,LSPD,LTEN,RILD,RILM,RLL3,RxoRt,SP,MCAL,MI,MN,ITT,DT,SPOR,DCAL,RHOB,RHOC,DPOR
195,0,0,0,26.47,33.6237,33.6237,36.2265,74.6573,-91.5,605.4985,100000,102.4693,0.4966,477.3602,-199.26,5.371,0.8857,0.1488,0,271.2051,158.1366,3.2576,2.1956,0.0015,30.0829
195.5,0,0,0,22.3399,30.5414,30.5414,33.0535,75.4569,-91.5,604.8134,100000,104.1353,0.4962,477.3797,-198.3053,5.3718,0.8884,0.1548,0,268.742,156.3946,3.2574,2.199,0.004,29.8808
196,0,0,0,21.4375,29.9558,29.9558,32.4553,75.7853,-91.5,604.4182,100000,101.5104,0.4959,477.3945,-197.1277,5.3776,0.8905,0.1598,0,266.9755,155.1454,3.2572,2.2002,0.003,29.8121
196.5,0,0,0,24.5568,32.2824,32.2824,34.8682,72.0167,-91.62,603.3654,100000,95.1067,0.496,477.4019,-195.991,5.3775,0.8907,0.1628,0,267.1826,155.2918,3.2573,2.2002,0.0014,29.8108
197,0,0,0,27.8221,34.8708,34.8708,37.3877,66.1658,-91.62,602.8718,100000,86.3613,0.4961,477.4013,-195.3299,5.3726,0.8886,0.1649,0,269.0547,156.6158,3.2574,2.199,0.0003,29.8815
197.5,0,0,0,27.562,34.6744,34.6744,37.2139,62.787,-91.62,603.9701,100000,76.9688,0.4959,477.3895,-195.5876,5.3719,0.8876,0.1652,0,270.962,157.9647,3.2574,2.1977,-0.0009,29.9568
198,0,0,0,25.5841,32.8592,32.8592,35.4617,65.5053,-91.62,605.9269,100000,68.5499,0.4959,477.3626,-196.9801,5.3743,0.8896,0.1655,1,271.7734,158.5385,3.2576,2.1993,-0.003,29.8665
198.5,0,0,0,23.9313,31.8742,31.8742,34.4431,72.8609,-91.62,606.1323,100000,62.3431,0.4971,477.3268,-199.3319,5.3747,0.8919,0.1694,1,271.6382,158.4429,3.2581,2.2036,-0.0064,29.6112
199,0,0,0,25.8445,33.0316,33.0316,35.6368,76.6498,-91.62,603.2076,100000,59.0616,0.4984,477.3016,-202.1051,5.3764,0.8932,0.1749,0,271.372,158.2546,3.2581,2.2062,-0.0116,29.4624
199.5,0,0,0,28.4943,35.3438,35.3438,37.7903,74.4644,-91.5,601.1932,100000,59.0394,0.498,477.3043,-204.6074,5.3799,0.8943,0.1784,0,271.6115,158.424,3.2575,2.2032,-0.0189,29.6382
200,0,0,0,29.9518,36.286,36.286,38.5298,71.2652,-91.5,601.6428,100000,62.4932,0.4969,477.3348,-206.2511,5.3774,0.8955,0.1803,0,272.3984,158.9805,3.2567,2.1963,-0.0271,30.0419
200.5,0,0,0,31.2638,37.2125,37.2125,39.1927,71.9805,-91.5,604.9121,100000,69.6732,0.4962,477.3806,-206.7395,5.371,0.8954,0.1808,0,273.3261,159.6365,3.2567,2.1897,-0.0341,30.4262
201,0,0,0,36.6176,40.7572,40.7572,41.4898,77.5484,-91.74,607.916,100000,80.7603,0.4958,477.4298,-206.132,5.3717,0.8945,0.1796,0,273.7444,159.9324,3.2571,2.1855,-0.0389,30.6747
201.5,0,0,0,43.9696,45.5169,45.5169,44.786,82.4254,-91.74,610.5649,100000,95.346,0.4951,477.4749,-204.791,5.3773,0.8935,0.1767,2,272.8502,159.3,3.2573,2.1829,-0.0417,30.8256
202,0,0,0,45.9955,46.8987,46.8987,45.8104,81.4207,-91.74,607.8289,100000,111.4731,0.4941,477.5052,-203.2295,5.3774,0.8925,0.1725,2,270.2609,157.4688,3.2573,2.1811,-0.0437,30.9327
202.5,0,0,0,40.166,43.0066,43.0066,43.0017,78.9139,-91.74,604.309,100000,125.1911,0.4939,477.5094,-201.9106,5.3738,0.8917,0.1683,0,266.6701,154.9294,3.2567,2.1792,-0.0458,31.0381
203,0,0,0,30.1594,36.4188,36.4188,38.6283,78.9066,-91.62,606.0965,100000,132.455,0.4947,477.4847,-201.0899,5.3749,0.8904,0.1651,0,263.4749,152.6696,3.2567,2.1757,-0.0491,31.2474
203.5,0,0,0,25.3291,32.7092,32.7092,35.3085,79.3951,-91.62,610.0324,100000,132.195,0.4958,477.4413,-200.7786,5.3786,0.8894,0.1631,0,261.6479,151.3775,3.2569,2.1684,-0.0543,31.6702
204,0,0,0,24.5598,32.2841,32.2841,34.8699,79.0799,-91.62,609.4156,100000,126.3161,0.4963,477.3932,-200.8245,5.3811,0.8891,0.1622,0,261.1565,151.0301,3.2563,2.1589,-0.0609,32.2291
204.5,0,0,0,24.3665,32.1714,32.1714,34.7528,76.2602,-91.5,608.114,100000,117.402,0.4967,477.3484,-201.0392,5.3814,0.889,0.1634,0,261.3695,151.1807,3.2557,2.1524,-0.0663,32.6086
205,0,0,0,24.9727,32.5121,32.5121,35.1058,73.4335,-91.5,605.8588,100000,107.7338,0.4974,477.3092,-201.2981,5.3786,0.8893,0.1657,0,261.7375,151.4409,3.2559,2.1544,-0.068,32.4941
205.5,0,0,0,28.9802,35.6662,35.6662,38.052,74.4553,-91.5,604.1445,100000,99.3036,0.4977,477.2746,-201.5812,5.3775,0.8905,0.1675,1,262.0624,151.6707,3.2563,2.1644,-0.0659,31.9058
206,0,0,0,34.1252,39.227,39.227,40.5082,78.014,-91.74,603.8018,100000,93.4118,0.498,477.2414,-201.953,5.38,0.891,0.1686,1,262.3993,151.909,3.2562,2.1755,-0.0628,31.2558
206.5,0,0,0,31.8658,37.7319,37.7319,39.5438,81.4469,-91.74,606.4326,100000,90.2964,0.4985,477.2051,-202.5034,5.3811,0.8904,0.1688,0,262.9354,152.2881,3.256,2.1798,-0.062,31.0058
207,0,0,0,26.199,33.3311,33.3311,35.9375,82.053,-91.74,609.2439,100000,89.0831,0.499,477.161,-203.281,5.3798,0.8895,0.1687,0,263.8369,152.9257,3.256,2.1754,-0.0655,31.2618
207.5,0,0,0,22.3402,30.5416,30.5416,33.0537,78.5616,-91.62,609.7736,100000,88.0675,0.4995,477.103,-204.2551,5.3785,0.8883,0.167,0,264.9413,153.7068,3.2559,2.1673,-0.0724,31.7387
208,0,0,0,22.8595,30.8916,30.8916,33.4164,75.2986,-91.62,607.1298,100000,85.5031,0.5002,477.0247,-205.3151,5.3787,0.8885,0.163,0,265.6978,154.2417,3.2558,2.1622,-0.0802,32.0377
208.5,0,0,0,25.5843,32.8593,32.8593,35.4618,76.0634,-91.62,604.8751,100000,80.8141,0.5019,476.927,-206.2954,5.3802,0.8886,0.1597,0,265.7159,154.2545,3.2559,2.1638,-0.0854,31.9441
209,0,0,0,25.9767,33.1328,33.1328,35.7389,78.0439,-91.5,604.9764,100000,74.9594,0.5039,476.8217,-207.0108,5.3824,0.886,0.1574,0,265.2449,153.9214,3.2558,2.17,-0.0871,31.5805
209.5,0,0,0,24.2213,32.0811,32.0811,34.6589,79.1257,-91.5,609.2271,100000,69.4303,0.5052,476.7244,-207.2999,5.3809,0.8837,0.1563,1,264.8726,153.6581,3.2556,2.1749,-0.0871,31.2898
210,0,0,0,26.1152,33.2518,33.2518,35.8584,80.4422,-91.5,613.8798,100000,65.2102,0.5059,476.6412,-207.0721,5.3758,0.884,0.157,0,264.945,153.7093,3.2554,2.1754,-0.087,31.2612
210.5,0,0,0,30.6956,36.7772,36.7772,38.8879,81.9488,-91.5,615.1937,100000,62.5447,0.5068,476.567,-206.3416,5.3728,0.8851,0.1573,0,265.3801,154.017,3.2552,2.1747,-0.0853,31.3052
211,0,0,0,33.7198,38.9817,-999.25,40.3525,82.0188,-91.5,611.0126,100000,61.1854,0.5076,476.4903,-205.2262,5.3724,0.8853,0.1558,0,265.8456,154.3462,3.2549,2.1781,-0.0796,31.1069
211.5,0,0,0,32.7941,38.4109,38.4109,39.9876,79.4237,-91.5,605.5406,100000,60.6932,0.5083,476.3981,-203.91,5.3737,0.8838,0.1529,0,266.0994,154.5257,3.2547,2.1859,-0.0706,30.6478
212,0,0,0,32.061,37.8921,37.8921,39.6498,77.1779,-91.87,604.4922,100000,60.6591,0.5098,476.2838,-202.5867,5.3753,0.8802,0.1472,0,266.3062,154.672,3.2543,2.1933,-0.0622,30.2171
212.5,0,0,0,32.7831,38.4038,38.4038,39.983,79.6622,-91.87,608.9999,100000,60.8091,0.5125,476.1555,-201.4117,5.3765,0.8781,0.1397,0,267.1137,155.2431,3.2543,2.1967,-0.0577,30.0177
213,0,0,0,32.4203,38.1601,38.1601,39.8252,85.1799,-91.87,613.5258,100000,60.9697,0.5144,476.0303,-200.4807,5.3782,0.8819,0.1357,1,269.2556,156.7578,3.2544,2.1974,-0.0582,29.9747
213.5,0,0,0,30.567,36.6883,36.6883,38.8243,88.2777,-91.87,612.7022,100000,60.936,0.5152,475.9184,-199.8352,5.3809,0.8881,0.1356,1,272.7464,159.2266,3.2541,2.1975,-0.0639,29.9692
214,0,0,0,29.4492,35.9677,35.9677,38.2884,87.536,-91.87,607.9822,100000,60.4282,0.5165,475.8172,-199.465,5.3822,0.8888,0.1343,0,276.5221,161.8968,3.2539,2.1961,-0.0751,30.0538
214.5,0,0,0,30.6256,36.7284,36.7284,38.8531,87.6698,-91.87,607.944,100000,59.2441,0.518,475.7213,-199.2907,5.3784,0.8849,0.1304,0,279.1679,163.768,3.2536,2.1912,-0.0904,30.339
215,0,0,0,31.9652,37.8146,37.8146,39.5986,89.5436,-91.5,610.9139,100000,57.4632,0.5193,475.6286,-199.1366,5.3739,0.8805,0.1268,0,279.8992,164.2851,3.2536,2.1838,-0.1068,30.7715
215.5,0,0,0,32.3458,38.1072,38.1072,39.7908,89.1763,-91.5,613.5971,100000,55.4238,0.5202,475.5345,-198.7431,5.3724,0.8779,0.1251,0,278.7228,163.4532,3.2543,2.1777,-0.122,31.1259
216,0,0,0,32.1524,37.9637,37.9637,39.6969,86.5223,-91.5,614.9683,100000,53.4704,0.521,475.4308,-197.8576,5.3732,0.8752,0.1217,0,275.9549,161.4957,3.2959,2.1746,-0.1396,31.3104
216.5,0,0,0,32.4387,38.173,38.173,39.8336,83.5924,-86.95,612.9245,100000,51.7176,0.523,475.3147,-196.3802,5.3753,0.8704,0.1146,1,271.6971,158.4845,3.9933,2.1673,-0.1718,31.7348
217,0,0,0,34.3642,39.372,39.372,40.6002,82.3587,-86.95,608.5658,100000,50.0246,0.5257,475.1954,-194.4695,5.3763,0.8655,0.1062,1,265.587,154.1634,6.2907,2.1419,-0.2315,33.2219
217.5,0,0,0,37.5309,41.3281,41.3281,41.8655,80.6448,-86.95,606.323,100000,48.1975,0.5266,475.0808,-192.4942,5.3757,0.8626,0.0989,0,257.1077,148.1667,7.8365,2.0901,-0.3183,36.253
218,0,1,0,37.4614,41.2844,41.2844,41.8366,76.7701,-78.58,609.2239,100000,46.3052,0.5269,474.9666,-190.834,5.3735,0.8621,0.0938,0,246.269,140.5014,8.0456,2.0225,-0.4112,40.2047
218.5,0,0,0.4266,31.8794,37.7433,37.7433,39.5514,74.6099,-78.58,613.7498,2344.1401,44.826,0.5293,328.1581,-189.6587,5.3712,0.8625,0.0901,0,233.9777,131.8088,8.051,1.9618,-0.4826,43.7543
219,0,0,43.5332,27.1646,34.3483,34.3483,36.9172,75.4896,-78.58,615.0786,22.9709,44.4939,0.5329,147.3011,-188.8632,5.3693,0.8613,0.0857,0,221.8505,123.2323,8.0512,1.9196,-0.5218,46.2197
219.5,0,0,64.8327,25.8277,33.0196,33.0196,35.6246,76.9988,-70.71,614.101,15.4243,46.0477,0.5341,131.6625,-188.2131,5.3697,0.8572,0.0773,0,211.6521,116.0199,8.0511,1.8906,-0.5357,47.9202
220,0,0,98.6383,26.6155,33.7937,33.7937,36.392,77.8163,-70.71,610.1088,10.1381,50.1303,0.5298,114.4377,-187.5856,5.3748,0.8516,0.0675,0,204.5005,110.9622,8.0513,1.8663,-0.5267,49.3364
